Type,Kingdom/Region,Name,Leader,Description,Alias,X1,Y1,X2,Y2
City/Settlement,Collective,Anchorage Vista,"Alex Mendoza, 88","Anchorage vista is a medium-sized port town in the Collective- one of only two. Anchorage vista operates as the nearest seaway connector for travel to and from Morheim and the OAR, cutting many days of travel short when compared to the road. But at a high cost. Anchorage Vista enjoys security of invasion from pirates via the Capital Channel, but sits hidden at the northern-most point of the Dreamshard Depths by a handful of islands. Beyond the islands sits a sea riddled with monsters and a “Continent of Death” to the east.",,2875,3519,2905,3549
City/Settlement,Collective,Ardesia,"Nestée Bruce, 60 ","Humanoids Only. The society of Ardesia is deeply xenophobic. Other races are treated as slaves. For half orcs, Ardesia is literally hell on earth. Practicing magic in public is punishable by mutilation or death. All mages are registered and monitored via arcane means. Additionally, money is everything. In Ardesia, everything and everyone has a price. Every mistake bears a cost paid by you or your Blade. People are indebted or indentured.",,1724,3825,1754,3855
City/Settlement,Collective,Claw Harbour,"Brenden Stott, 29",,,2493,4056,2523,4086
City/Settlement,Collective,Cochrane River,"Melana Finch, 30","A small-set progressive town on the edge of a forest, Cochrane River is largely the center of crime and criminal organizations in The Collective.",,1762,3531,1792,3561
City/Settlement,Collective,Mithril Lake,"Loren Yu, 103",,,2207,3148,2237,3178
City/Settlement,Collective,Montistum,"Leslym Barrett, 104 ","Montistum is known for it's History as the old Hold of the Collective. Refurbished in generations past, Montistum holds its grandieur well. Unfortuantely due to recent history, travel and commerce has slowed significantly.",,1646,3308,1676,3338
City/Settlement,Collective,Rasa,"Mitch Stein, 70",,,2569,3150,2599,3180
City/Settlement,Collective,Sabul Pass,"Keith Stanton, 34",,,2639,3455,2669,3485
City/Settlement,Collective,The Hold,"Vern Gates, 27",,,2377,3737,2427,3787
City/Settlement,Collective,Vermillis,"Sammy Floyd, 116",,,2559,2872,2589,2902
City/Settlement,Collective,WillowGlade,"Merryl Drake, 65",,,2064,3807,2094,3837
City/Settlement,Creatus,Aztarok,"Abraror, 65",,,5112,842,5142,872
City/Settlement,Creatus,Gaj Gedad,"Gallavant Stallam, 72",,,5050,1607,5080,1637
City/Settlement,Creatus,Gedad,"Kophe, 23",,,5350,1364,5380,1394
City/Settlement,Creatus,Jusomaas,"Ulumpha, 93",,,6000,1546,6050,1596
City/Settlement,Creatus,Od-Nenga,"Marroc, 82",,,5935,1327,5965,1357
City/Settlement,Creatus,Zut'Kitot,"Goddaebelle, 38",,,4125,1778,4155,1808
City/Settlement,Dwarven Kingdom,Aerduluk,"Solomon Aerduluk, 38",,,1880,1986,2931,2984
City/Settlement,Dwarven Kingdom,Anduril,"Himo Anduril, 26",,,1975,2422,2061,2470
City/Settlement,Dwarven Kingdom,Barlenghir,"Travon Barlenghir, 25",,,1954,2249,2082,2305
City/Settlement,Dwarven Kingdom,Kadrehl,"Aldwulf Kadrehl, 247",,,1669,2292,1761,2341
City/Settlement,Dwarven Kingdom,Korhelihr,"Marl Korhelihr, 33",,,1688,3173,1785,3224
City/Settlement,Dwarven Kingdom,Lordakihr,"Kia Lordakihr, 20",,,2094,3014,2216,3063
City/Settlement,Dwarven Kingdom,Torruhn,"Jonelle Torruhn, 39",,,1312,1412,2376,2419
City/Settlement,Dwarven Kingdom,Varkuhldir,"Rosay Varkuhldir, 41",,,2073,2772,2200,2822
City/Settlement,Dwarven Kingdom,Vel-Gendar,"John Vel-Gendar, 30",,,2296,2645,2491,2752
City/Settlement,Far Lands,Ironscar Hill,,,,6683,4154,6713,4184
City/Settlement,Far Lands,Neverport,"Delvin Frazier, 22",,,6619,4524,6649,4554
City/Settlement,Far Lands,Repository of Records,,,,6551,3905,6601,3955
